"Excavator starting route made by Laura1, Zappy and inputs from others in PvM Encyclopedia - Hi ryan's stream!",FALSE,Points,Accumulated Points
Tasks List,FALSE,,
leagues tutorial ,FALSE,,0
Excavator - All other relics are up to yourself!,FALSE,10,10
Open any Skill guide,FALSE,10,20
"Its recommended to do Dailies like Cache and Wilderness Flash Events, but this route isn't relient on them!",FALSE,,20
Lumbridge,FALSE,,20
"Note: Kill a goblin if you get the chance any time during the route, but don't wait for respawning, bury the bones, Same for an imp, Scatter the ashes you receive from the imp",FALSE,40,60
talk to hans,FALSE,10,70
Get a slayer task from jacquelyn,FALSE,,70
Start Cook's assistant,FALSE,,70
Talk to Duke Horacio.,FALSE,,70
Climb to the roof of lumbridge bank and raise the flag.,FALSE,,70
Talk with the doomsayer about the warning system,FALSE,,70
Talk with the lumbridge Sage.,FALSE,,70
Rest at the musician directly north of lodestone,FALSE,10,80
Pickpocket Men/Women untill 5 you have 400 gp and steal from 10 Baker Stalls at the market,FALSE,50,130
Start Buyers and Cellars quest by entering the trapdoor north of the building north of the furnace,FALSE,,130
activate thick skin till you run out of prayer,FALSE,20,150
Talk with Chief Thief Robin south of lumbridge castle wall,FALSE,,150
"Go into the lumbridge church and play the organ, ring the bell and look through Father Aereck's selection of graves.",FALSE,,150
Claim the free dual wield Bronze battleaxes from Bob for the start of the Blood Pact,FALSE,,150
"Do the Blood Pact quest, equip the staff for your primary weapon.",FALSE,20,170
Go towards south east lumbridge swamp and chop a tree on the way,FALSE,10,180
Kill a Giant rat in the swamps and grab the meat,FALSE,10,190
Fill a charmed sack with corruption at the nexus. Stay here untill 5 prayer for a later task. Talk with Ysondria for lumbridge beginner task,FALSE,10,200
"Fish Shrimps untill you cooked 10 & burned one, keep one uncooked for later.",FALSE,50,250
Cook the raw rat meat on a fire you lit yourself,FALSE,20,270
"Mine 6 clay and 10 copper + tin & Rightclick prospect any ore, if not level 10, continue mining",FALSE,90,360
Search the shed in lumbridge swamp.,FALSE,,360
"Speak to Father Urhney, chat options 4-3",FALSE,,360
Get a replacement Amulet of Ghostspeak from Father Urhney,FALSE,10,370
Light a fire outside one of the windows of his house,FALSE,,370
"Talk with Father Urhney, chat options 4-4",FALSE,,370
Pickpocket Father Urhney,FALSE,,370
Open the chalice display case in his house,FALSE,,370
Kill a Giant spider north of the hut in lumbridge swamp,FALSE,10,380
"Go to south west lumbridge swamp mine, turn off excavator for 9 iron ores turn it back on and get level 15 mining, 4-tick mine for 60 seconds after, stay here untill 20 mining",FALSE,30,410
"Go back east, cross the bridge to al-kharid, enter through the western gate and unlock the Al-Kharid Lodestone",FALSE,,410
Lodestone teleport back to Lumbridge,FALSE,10,420
Grab 6 clay from your bank in the market.,FALSE,,420
Smith 10 bronze weapons or armour that require 1 bar each and also make 50 bronze bolts(1 bronze bar) and 3 Bronze Wire.,FALSE,20,440
Use the 6 clay on the Water trough inside the furnace building to make soft clay,FALSE,10,450
"Sell your bronze battleaxes from earlier, Buy shears, 2 empty bucket, empty jug and a 3 empty pot from the general store south of the market. Also claim a free tinderbox and sell the tinderbox back.",FALSE,,450
"Buy roughly 100 Fishing bait from the fishing shop east of the market, claim a free Crayfish Cage & sell your raw shrimp",FALSE,30,480
Complete Buyers and Cellars where you started it,FALSE,10,490
"Kill a chicken north of marketplace, Collect the Super Large egg and a normal egg while you're there",FALSE,10,500
Kill a Goblin north of marketplace if you haven't killed one yet,FALSE,line 6,500
"If not too crowded sheer 4 white sheeps & 20 black sheeps for Sheep Shearer miniquest. If its too crowded, skip untill later when you're in Lumbridge again.",FALSE,,500
"Bank at the Market, Inventory should be: 3 Empty pots, 1 Soft Clay",FALSE,,500
"Pick 3 wheat, make one into Extra fine flour by talking to Millie Miller and the other two into normal flour.",FALSE,20,520
Mine a piece of clay just west of the windmill,FALSE,,520
Draynor Village,FALSE,,520
"Unlock the Draynor Lodestone, chopping trees on the way there",FALSE,,520
Run north to enter the courtyard of Draynor Mansion untill you get the achievement.,FALSE,,520
"Make an unfired pot at the potter's wheel in the most northern building in draynor, and fire it after.",FALSE,,520
Start Vampyre Slayer at Morgan and get the garlic from the first floor of his house,FALSE,,520
"Head south east past the Draynor Jail to the Pale rift, chop more trees on the way there if not 10 woodcutting yet",FALSE,,520
"Collect 500 Pale energies, bank them.",FALSE,40,560
Finish 10 Woodcutting,FALSE,,560
"Fletch one log into arrowshafts and burn the rest untill 15 firemaking, then chop more logs for 1000 arrowshafts, switch over to oak logs if you get 15 fletching before 1000 arrowshafts.",FALSE,50,610
Chop an Oak tree,FALSE,10,620
"Finish 20 Woodcutting, chop a willow tree.",FALSE,30,650
"Grab four onions south of Draynor bank, eat one and bank the rest",FALSE,10,660
"Access the bank in Draynor village, inventory should be: Fishing bait.",FALSE,,660
"Ask the Wise old man to check your bank for unnecessary quest-related items, and discover what the Wise Old Man is watching through his telescope on the first floor of his house",FALSE,,660
Buy 6 Potato Seeds from Olivia,FALSE,,660
Learn about the Rules of Conduct from the town crier in draynor market.,FALSE,,660
"Fish herring untill 15 Fishing, then catch an anchovy",FALSE,20,680
Keep fishing untill 25 fishing,FALSE,,680
Fish the Fishing spot? to start Duck Quest,FALSE,,680
Run further south to the Wizards' Tower,FALSE,,680
"Taunt the Lesser Demon on the 1st floor, if no one there, kill it as well.",FALSE,,680
"Go up another floor and get teleported by Archmage Sedridor to the Rune Essence Mine, mine a few rune essence.",FALSE,,680
"Head to the top floor of the Wizard's Tower, Enter the green portal into runespan and get 5 runecrafting.",FALSE,10,690
"Head down the tower and back north to follow the Duck Quest trail, once in Lumbridge marketplace, bank everything except 2 buckets and your excavator pickaxe.",FALSE,,690
"Once in the cow pen, buy roughly 10 Redberries and a Chef's hat from Beefy Bill's.",FALSE,,690
Milk the Dairy cow next to him twice.,FALSE,10,700
Finish following the trail for Duck Quest and talk with Breadstix till you get the potion recipe,FALSE,,700
Varrock,FALSE,,700
Start dragon slayer in the Champion's guild,FALSE,,700
Mine some iron ore in the south west varrock mine,FALSE,10,710
Claim quest dice for 250k GP from May south of varrock entrance.,FALSE,,710
Unlock varrock lodestone,FALSE,,710
"Kill a dark wizard, collect and keep the bone",FALSE,10,720
"Harvest 1-3 Cadava berries east of the dark wizards, if theres none, need to go back for it later.",FALSE,,720
Chop a dead tree next to the Varrock South-east mine,FALSE,,720
"Talk with Dr Harlow in the blue moon inn, pick chat option 2, buy two beers from the bartender and talk with Dr. Harlow again to receive a stake and stake hammer.",FALSE,,720
"Buy 3 pieces of silk, 10 needle and 50 Thread, White Apron and Leather gloves from Thessalia in the clothes shop south west of the Varrock square, also rightclick change-clothes.",FALSE,,720
"Buy a copy of the Varrock Herald newspaper on Varrock Square, can drop it after.",FALSE,,720
"Buy a Sickle Mould from Urist in varrock square, rightclick add it to toolbelt.",FALSE,,720
"Buy a set of Imphide, Spider and Batwing armour from Zaff, equip or bank it if you don't have the defence levels yet.",FALSE,10,730
"Also buy magic dual wield of the highest tier you can equip, and higher.",FALSE,,730
"Buy a set of Iron armour from Horvik, start with helm/body/legs, and only buy the rest if task isn't completed yet",FALSE,10,740
Go to the Grand Exchange and claim a free clue scroll from Zaida - Tier 2 should be unlocked here,FALSE,10,750
"Steal from the Varrock tea stall in south east Varrock, keep the cup of tea for a later task",FALSE,10,760
"Buy a yellow cape from the Fancy Clothes Store south east of the Varrock tea stall, equip this",FALSE,,760
Buy 100 of each elemental rune from Aubury,FALSE,,760
Give a bone to a dog,FALSE,10,770
"Go to the east Varrock bank, Inventory & Equipment: Pickaxe of the Ages, Reese's Main and Offhand, Cup of Tea, food to fight Delrith",FALSE,,770
Head north and do the Varrock museum Natural history quiz,FALSE,,770
Head north towards Varrock church and give Elsie the cup of tea to make her tell you a story. Climb all the way to the top as well.,FALSE,10,780
"Do Demon slayer quest, during the quest start New Foundations at the New Foundations portal outside of King Roald's throne room in Varrock Palace, Start Priest in Peril by talking with King Roald, Also talk to Reldo in the libary for The Knights Sword.",FALSE,30,810
"Go east and do Archaeology Tutorial, equip the Archaeology journal in your pocket slot, and always keep it on you, It won't be stated in the banking steps to take it out.",FALSE,10,820
